granularite,section,detail,metrique,valeur,n
trimestriel,test,globale,accuracy,51.5,4317
trimestriel,test,globale,balanced_accuracy,51.4,4317
trimestriel,test,globale,f1_macro,46.1,4317
trimestriel,test,globale,n_zones_uniques,412.0,4317
trimestriel,test,globale,repere_toujours_majoritaire_accuracy,66.6,4317
trimestriel,test,globale,repere_hasard_balanced,33.3,4317
trimestriel,par_annee,2023,accuracy,54.1,1439
trimestriel,par_annee,2024,accuracy,51.2,1439
trimestriel,par_annee,2025,accuracy,49.1,1439
trimestriel,par_tendance,Diminution,accuracy,52.3,2877
trimestriel,par_tendance,Stable,accuracy,45.0,856
trimestriel,par_tendance,Augmentation,accuracy,56.8,584
trimestriel,cv_temporelle,fold_1_val_2020,accuracy,53.8,1802
trimestriel,cv_temporelle,fold_1_val_2020,balanced_accuracy,54.4,1802
trimestriel,cv_temporelle,fold_1_val_2020,f1_macro,46.4,1802
trimestriel,cv_temporelle,fold_2_val_2021,accuracy,59.8,1845
trimestriel,cv_temporelle,fold_2_val_2021,balanced_accuracy,56.4,1845
trimestriel,cv_temporelle,fold_2_val_2021,f1_macro,47.7,1845
trimestriel,cv_temporelle,fold_3_val_2022,accuracy,66.4,1398
trimestriel,cv_temporelle,fold_3_val_2022,balanced_accuracy,60.2,1398
trimestriel,cv_temporelle,fold_3_val_2022,f1_macro,54.2,1398
trimestriel,cv_temporelle,moyenne,accuracy,60.0,3
trimestriel,cv_temporelle,moyenne,balanced_accuracy,57.0,3
trimestriel,cv_temporelle,moyenne,f1_macro,49.4,3
