granularite,section,detail,metrique,valeur,n
mensuel,test,globale,accuracy,61.2,10467
mensuel,test,globale,balanced_accuracy,52.6,10467
mensuel,test,globale,f1_macro,46.0,10467
mensuel,test,globale,n_zones_uniques,412.0,10467
mensuel,test,globale,repere_toujours_majoritaire_accuracy,77.3,10467
mensuel,test,globale,repere_hasard_balanced,33.3,10467
mensuel,par_annee,2023,accuracy,61.5,3489
mensuel,par_annee,2024,accuracy,61.1,3489
mensuel,par_annee,2025,accuracy,61.0,3489
mensuel,par_tendance,Diminution,accuracy,66.5,8090
mensuel,par_tendance,Stable,accuracy,39.3,1637
mensuel,par_tendance,Augmentation,accuracy,52.0,740
mensuel,cv_temporelle,fold_1_val_2017,accuracy,58.9,3161
mensuel,cv_temporelle,fold_1_val_2017,balanced_accuracy,52.8,3161
mensuel,cv_temporelle,fold_1_val_2017,f1_macro,47.3,3161
mensuel,cv_temporelle,fold_2_val_2018,accuracy,60.6,3419
mensuel,cv_temporelle,fold_2_val_2018,balanced_accuracy,52.5,3419
mensuel,cv_temporelle,fold_2_val_2018,f1_macro,47.6,3419
mensuel,cv_temporelle,fold_3_val_2019,accuracy,59.8,3611
mensuel,cv_temporelle,fold_3_val_2019,balanced_accuracy,54.3,3611
mensuel,cv_temporelle,fold_3_val_2019,f1_macro,47.3,3611
mensuel,cv_temporelle,fold_4_val_2020,accuracy,60.9,3783
mensuel,cv_temporelle,fold_4_val_2020,balanced_accuracy,58.1,3783
mensuel,cv_temporelle,fold_4_val_2020,f1_macro,48.1,3783
mensuel,cv_temporelle,fold_5_val_2021,accuracy,65.7,3929
mensuel,cv_temporelle,fold_5_val_2021,balanced_accuracy,58.2,3929
mensuel,cv_temporelle,fold_5_val_2021,f1_macro,50.5,3929
mensuel,cv_temporelle,fold_6_val_2022,accuracy,69.1,3669
mensuel,cv_temporelle,fold_6_val_2022,balanced_accuracy,56.4,3669
mensuel,cv_temporelle,fold_6_val_2022,f1_macro,49.8,3669
mensuel,cv_temporelle,moyenne,accuracy,62.5,6
mensuel,cv_temporelle,moyenne,balanced_accuracy,55.4,6
mensuel,cv_temporelle,moyenne,f1_macro,48.4,6
