granularite,section,detail,metrique,valeur,n
trimestriel,test,globale,accuracy,51.6,4317
trimestriel,test,globale,balanced_accuracy,51.2,4317
trimestriel,test,globale,f1_macro,45.5,4317
trimestriel,test,globale,n_zones_uniques,412.0,4317
trimestriel,test,globale,repere_toujours_majoritaire_accuracy,69.5,4317
trimestriel,test,globale,repere_hasard_balanced,33.3,4317
trimestriel,par_annee,2023,accuracy,53.1,1439
trimestriel,par_annee,2024,accuracy,50.7,1439
trimestriel,par_annee,2025,accuracy,51.0,1439
trimestriel,par_tendance,Diminution,accuracy,52.0,3002
trimestriel,par_tendance,Stable,accuracy,48.3,679
trimestriel,par_tendance,Augmentation,accuracy,53.5,636
trimestriel,cv_temporelle,fold_1_val_2020,accuracy,53.2,1802
trimestriel,cv_temporelle,fold_1_val_2020,balanced_accuracy,55.8,1802
trimestriel,cv_temporelle,fold_1_val_2020,f1_macro,45.4,1802
trimestriel,cv_temporelle,fold_2_val_2021,accuracy,56.4,1845
trimestriel,cv_temporelle,fold_2_val_2021,balanced_accuracy,55.0,1845
trimestriel,cv_temporelle,fold_2_val_2021,f1_macro,44.7,1845
trimestriel,cv_temporelle,fold_3_val_2022,accuracy,66.9,1398
trimestriel,cv_temporelle,fold_3_val_2022,balanced_accuracy,60.9,1398
trimestriel,cv_temporelle,fold_3_val_2022,f1_macro,53.2,1398
trimestriel,cv_temporelle,moyenne,accuracy,58.8,3
trimestriel,cv_temporelle,moyenne,balanced_accuracy,57.2,3
trimestriel,cv_temporelle,moyenne,f1_macro,47.8,3
