granularite,section,detail,metrique,valeur,n
semestriel,test,globale,accuracy,61.8,2337
semestriel,test,globale,balanced_accuracy,61.5,2337
semestriel,test,globale,f1_macro,54.8,2337
semestriel,test,globale,n_zones_uniques,412.0,2337
semestriel,test,globale,repere_toujours_majoritaire_accuracy,66.9,2337
semestriel,test,globale,repere_hasard_balanced,33.3,2337
semestriel,par_annee,2023,accuracy,61.6,779
semestriel,par_annee,2024,accuracy,61.0,779
semestriel,par_annee,2025,accuracy,62.8,779
semestriel,par_tendance,Diminution,accuracy,71.5,505
semestriel,par_tendance,Stable,accuracy,60.2,1563
semestriel,par_tendance,Augmentation,accuracy,52.8,269
semestriel,cv_temporelle,fold_1_val_2018,accuracy,70.3,1026
semestriel,cv_temporelle,fold_1_val_2018,balanced_accuracy,69.5,1026
semestriel,cv_temporelle,fold_1_val_2018,f1_macro,60.5,1026
semestriel,cv_temporelle,fold_2_val_2019,accuracy,70.8,1060
semestriel,cv_temporelle,fold_2_val_2019,balanced_accuracy,67.0,1060
semestriel,cv_temporelle,fold_2_val_2019,f1_macro,57.6,1060
semestriel,cv_temporelle,fold_3_val_2020,accuracy,73.8,1092
semestriel,cv_temporelle,fold_3_val_2020,balanced_accuracy,69.3,1092
semestriel,cv_temporelle,fold_3_val_2020,f1_macro,61.9,1092
semestriel,cv_temporelle,fold_4_val_2021,accuracy,75.2,1115
semestriel,cv_temporelle,fold_4_val_2021,balanced_accuracy,71.1,1115
semestriel,cv_temporelle,fold_4_val_2021,f1_macro,63.5,1115
semestriel,cv_temporelle,fold_5_val_2022,accuracy,79.7,571
semestriel,cv_temporelle,fold_5_val_2022,balanced_accuracy,78.5,571
semestriel,cv_temporelle,fold_5_val_2022,f1_macro,70.2,571
semestriel,cv_temporelle,moyenne,accuracy,74.0,5
semestriel,cv_temporelle,moyenne,balanced_accuracy,71.1,5
semestriel,cv_temporelle,moyenne,f1_macro,62.7,5
