granularite,section,detail,metrique,valeur,n
mensuel,test,globale,accuracy,61.3,10467
mensuel,test,globale,balanced_accuracy,52.1,10467
mensuel,test,globale,f1_macro,45.6,10467
mensuel,test,globale,n_zones_uniques,412.0,10467
mensuel,test,globale,repere_toujours_majoritaire_accuracy,77.2,10467
mensuel,test,globale,repere_hasard_balanced,33.3,10467
mensuel,par_annee,2023,accuracy,61.2,3489
mensuel,par_annee,2024,accuracy,61.3,3489
mensuel,par_annee,2025,accuracy,61.4,3489
mensuel,par_tendance,Diminution,accuracy,67.1,8080
mensuel,par_tendance,Stable,accuracy,36.9,1651
mensuel,par_tendance,Augmentation,accuracy,52.3,736
mensuel,cv_temporelle,fold_1_val_2017,accuracy,58.9,3161
mensuel,cv_temporelle,fold_1_val_2017,balanced_accuracy,52.2,3161
mensuel,cv_temporelle,fold_1_val_2017,f1_macro,47.1,3161
mensuel,cv_temporelle,fold_2_val_2018,accuracy,60.9,3419
mensuel,cv_temporelle,fold_2_val_2018,balanced_accuracy,52.5,3419
mensuel,cv_temporelle,fold_2_val_2018,f1_macro,47.6,3419
mensuel,cv_temporelle,fold_3_val_2019,accuracy,60.0,3611
mensuel,cv_temporelle,fold_3_val_2019,balanced_accuracy,54.6,3611
mensuel,cv_temporelle,fold_3_val_2019,f1_macro,47.5,3611
mensuel,cv_temporelle,fold_4_val_2020,accuracy,60.7,3783
mensuel,cv_temporelle,fold_4_val_2020,balanced_accuracy,58.1,3783
mensuel,cv_temporelle,fold_4_val_2020,f1_macro,48.2,3783
mensuel,cv_temporelle,fold_5_val_2021,accuracy,65.7,3929
mensuel,cv_temporelle,fold_5_val_2021,balanced_accuracy,58.1,3929
mensuel,cv_temporelle,fold_5_val_2021,f1_macro,50.4,3929
mensuel,cv_temporelle,fold_6_val_2022,accuracy,69.3,3669
mensuel,cv_temporelle,fold_6_val_2022,balanced_accuracy,56.0,3669
mensuel,cv_temporelle,fold_6_val_2022,f1_macro,49.6,3669
mensuel,cv_temporelle,moyenne,accuracy,62.6,6
mensuel,cv_temporelle,moyenne,balanced_accuracy,55.2,6
mensuel,cv_temporelle,moyenne,f1_macro,48.4,6
