granularite,section,detail,metrique,valeur,n
semestriel,test,globale,accuracy,53.0,2337
semestriel,test,globale,balanced_accuracy,48.4,2337
semestriel,test,globale,f1_macro,43.4,2337
semestriel,test,globale,n_zones_uniques,412.0,2337
semestriel,test,globale,repere_toujours_majoritaire_accuracy,60.2,2337
semestriel,test,globale,repere_hasard_balanced,33.3,2337
semestriel,par_annee,2023,accuracy,55.5,779
semestriel,par_annee,2024,accuracy,52.8,779
semestriel,par_annee,2025,accuracy,50.8,779
semestriel,par_tendance,Diminution,accuracy,61.5,1407
semestriel,par_tendance,Stable,accuracy,13.4,494
semestriel,par_tendance,Augmentation,accuracy,70.4,436
semestriel,cv_temporelle,fold_1_val_2018,accuracy,58.4,1026
semestriel,cv_temporelle,fold_1_val_2018,balanced_accuracy,53.7,1026
semestriel,cv_temporelle,fold_1_val_2018,f1_macro,50.7,1026
semestriel,cv_temporelle,fold_2_val_2019,accuracy,56.8,1060
semestriel,cv_temporelle,fold_2_val_2019,balanced_accuracy,53.1,1060
semestriel,cv_temporelle,fold_2_val_2019,f1_macro,48.4,1060
semestriel,cv_temporelle,fold_3_val_2020,accuracy,55.0,1092
semestriel,cv_temporelle,fold_3_val_2020,balanced_accuracy,54.3,1092
semestriel,cv_temporelle,fold_3_val_2020,f1_macro,47.2,1092
semestriel,cv_temporelle,fold_4_val_2021,accuracy,57.9,1115
semestriel,cv_temporelle,fold_4_val_2021,balanced_accuracy,50.8,1115
semestriel,cv_temporelle,fold_4_val_2021,f1_macro,45.0,1115
semestriel,cv_temporelle,fold_5_val_2022,accuracy,66.9,571
semestriel,cv_temporelle,fold_5_val_2022,balanced_accuracy,56.3,571
semestriel,cv_temporelle,fold_5_val_2022,f1_macro,51.4,571
semestriel,cv_temporelle,moyenne,accuracy,59.0,5
semestriel,cv_temporelle,moyenne,balanced_accuracy,53.6,5
semestriel,cv_temporelle,moyenne,f1_macro,48.5,5
