granularite,section,detail,metrique,valeur,n
annuel,test,globale,accuracy,55.5,1236
annuel,test,globale,balanced_accuracy,58.9,1236
annuel,test,globale,f1_macro,52.9,1236
annuel,test,globale,n_zones_uniques,412.0,1236
annuel,test,globale,repere_toujours_majoritaire_accuracy,59.7,1236
annuel,test,globale,repere_hasard_balanced,33.3,1236
annuel,par_annee,2023,accuracy,52.9,412
annuel,par_annee,2024,accuracy,57.3,412
annuel,par_annee,2025,accuracy,56.3,412
annuel,par_tendance,Diminution,accuracy,65.1,298
annuel,par_tendance,Stable,accuracy,50.0,738
annuel,par_tendance,Augmentation,accuracy,61.5,200
annuel,cv_temporelle,fold_1_val_2020,accuracy,72.8,666
annuel,cv_temporelle,fold_1_val_2020,balanced_accuracy,64.7,666
annuel,cv_temporelle,fold_1_val_2020,f1_macro,61.1,666
annuel,cv_temporelle,fold_2_val_2021,accuracy,73.2,680
annuel,cv_temporelle,fold_2_val_2021,balanced_accuracy,66.9,680
annuel,cv_temporelle,fold_2_val_2021,f1_macro,61.1,680
annuel,cv_temporelle,moyenne,accuracy,73.0,2
annuel,cv_temporelle,moyenne,balanced_accuracy,65.8,2
annuel,cv_temporelle,moyenne,f1_macro,61.1,2
