granularite,section,detail,metrique,valeur,n
semestriel,test,globale,accuracy,47.7,2337
semestriel,test,globale,balanced_accuracy,46.7,2337
semestriel,test,globale,f1_macro,41.3,2337
semestriel,test,globale,n_zones_uniques,412.0,2337
semestriel,test,globale,repere_toujours_majoritaire_accuracy,61.7,2337
semestriel,test,globale,repere_hasard_balanced,33.3,2337
semestriel,par_annee,2023,accuracy,50.7,779
semestriel,par_annee,2024,accuracy,48.3,779
semestriel,par_annee,2025,accuracy,44.2,779
semestriel,par_tendance,Diminution,accuracy,49.2,1443
semestriel,par_tendance,Stable,accuracy,18.9,449
semestriel,par_tendance,Augmentation,accuracy,71.9,445
semestriel,cv_temporelle,fold_1_val_2018,accuracy,57.2,1026
semestriel,cv_temporelle,fold_1_val_2018,balanced_accuracy,53.4,1026
semestriel,cv_temporelle,fold_1_val_2018,f1_macro,49.4,1026
semestriel,cv_temporelle,fold_2_val_2019,accuracy,57.2,1060
semestriel,cv_temporelle,fold_2_val_2019,balanced_accuracy,53.5,1060
semestriel,cv_temporelle,fold_2_val_2019,f1_macro,48.6,1060
semestriel,cv_temporelle,fold_3_val_2020,accuracy,52.9,1092
semestriel,cv_temporelle,fold_3_val_2020,balanced_accuracy,52.5,1092
semestriel,cv_temporelle,fold_3_val_2020,f1_macro,45.1,1092
semestriel,cv_temporelle,fold_4_val_2021,accuracy,57.4,1115
semestriel,cv_temporelle,fold_4_val_2021,balanced_accuracy,51.8,1115
semestriel,cv_temporelle,fold_4_val_2021,f1_macro,44.9,1115
semestriel,cv_temporelle,fold_5_val_2022,accuracy,65.8,571
semestriel,cv_temporelle,fold_5_val_2022,balanced_accuracy,57.5,571
semestriel,cv_temporelle,fold_5_val_2022,f1_macro,51.4,571
semestriel,cv_temporelle,moyenne,accuracy,58.1,5
semestriel,cv_temporelle,moyenne,balanced_accuracy,53.7,5
semestriel,cv_temporelle,moyenne,f1_macro,47.9,5
