granularite,section,detail,metrique,valeur,n
semestriel,test,globale,accuracy,61.8,2337
semestriel,test,globale,balanced_accuracy,61.5,2337
semestriel,test,globale,f1_macro,54.7,2337
semestriel,test,globale,n_zones_uniques,412.0,2337
semestriel,test,globale,repere_toujours_majoritaire_accuracy,67.1,2337
semestriel,test,globale,repere_hasard_balanced,33.3,2337
semestriel,par_annee,2023,accuracy,61.7,779
semestriel,par_annee,2024,accuracy,60.7,779
semestriel,par_annee,2025,accuracy,62.9,779
semestriel,par_tendance,Diminution,accuracy,72.0,503
semestriel,par_tendance,Stable,accuracy,60.1,1567
semestriel,par_tendance,Augmentation,accuracy,52.4,267
semestriel,cv_temporelle,fold_1_val_2018,accuracy,70.1,1026
semestriel,cv_temporelle,fold_1_val_2018,balanced_accuracy,70.0,1026
semestriel,cv_temporelle,fold_1_val_2018,f1_macro,60.6,1026
semestriel,cv_temporelle,fold_2_val_2019,accuracy,70.8,1060
semestriel,cv_temporelle,fold_2_val_2019,balanced_accuracy,66.9,1060
semestriel,cv_temporelle,fold_2_val_2019,f1_macro,57.2,1060
semestriel,cv_temporelle,fold_3_val_2020,accuracy,74.5,1092
semestriel,cv_temporelle,fold_3_val_2020,balanced_accuracy,70.5,1092
semestriel,cv_temporelle,fold_3_val_2020,f1_macro,62.9,1092
semestriel,cv_temporelle,fold_4_val_2021,accuracy,75.5,1115
semestriel,cv_temporelle,fold_4_val_2021,balanced_accuracy,71.2,1115
semestriel,cv_temporelle,fold_4_val_2021,f1_macro,63.5,1115
semestriel,cv_temporelle,fold_5_val_2022,accuracy,79.3,571
semestriel,cv_temporelle,fold_5_val_2022,balanced_accuracy,78.1,571
semestriel,cv_temporelle,fold_5_val_2022,f1_macro,69.7,571
semestriel,cv_temporelle,moyenne,accuracy,74.0,5
semestriel,cv_temporelle,moyenne,balanced_accuracy,71.3,5
semestriel,cv_temporelle,moyenne,f1_macro,62.8,5
