granularite,section,detail,metrique,valeur,n
trimestriel,test,globale,accuracy,69.1,4317
trimestriel,test,globale,balanced_accuracy,66.2,4317
trimestriel,test,globale,f1_macro,56.8,4317
trimestriel,test,globale,n_zones_uniques,412.0,4317
trimestriel,test,globale,repere_toujours_majoritaire_accuracy,74.2,4317
trimestriel,test,globale,repere_hasard_balanced,33.3,4317
trimestriel,par_annee,2023,accuracy,69.4,1439
trimestriel,par_annee,2024,accuracy,68.7,1439
trimestriel,par_annee,2025,accuracy,69.2,1439
trimestriel,par_tendance,Diminution,accuracy,70.2,810
trimestriel,par_tendance,Stable,accuracy,69.8,3205
trimestriel,par_tendance,Augmentation,accuracy,58.6,302
trimestriel,cv_temporelle,fold_1_val_2020,accuracy,74.9,1802
trimestriel,cv_temporelle,fold_1_val_2020,balanced_accuracy,71.4,1802
trimestriel,cv_temporelle,fold_1_val_2020,f1_macro,60.2,1802
trimestriel,cv_temporelle,fold_2_val_2021,accuracy,79.0,1845
trimestriel,cv_temporelle,fold_2_val_2021,balanced_accuracy,75.9,1845
trimestriel,cv_temporelle,fold_2_val_2021,f1_macro,65.5,1845
trimestriel,cv_temporelle,fold_3_val_2022,accuracy,80.5,1398
trimestriel,cv_temporelle,fold_3_val_2022,balanced_accuracy,79.0,1398
trimestriel,cv_temporelle,fold_3_val_2022,f1_macro,67.0,1398
trimestriel,cv_temporelle,moyenne,accuracy,78.1,3
trimestriel,cv_temporelle,moyenne,balanced_accuracy,75.4,3
trimestriel,cv_temporelle,moyenne,f1_macro,64.2,3
