granularite,section,detail,metrique,valeur,n
mensuel,test,globale,accuracy,61.0,10467
mensuel,test,globale,balanced_accuracy,52.5,10467
mensuel,test,globale,f1_macro,45.3,10467
mensuel,test,globale,n_zones_uniques,412.0,10467
mensuel,test,globale,repere_toujours_majoritaire_accuracy,79.1,10467
mensuel,test,globale,repere_hasard_balanced,33.3,10467
mensuel,par_annee,2023,accuracy,61.9,3489
mensuel,par_annee,2024,accuracy,60.4,3489
mensuel,par_annee,2025,accuracy,60.6,3489
mensuel,par_tendance,Diminution,accuracy,65.4,8280
mensuel,par_tendance,Stable,accuracy,38.9,1380
mensuel,par_tendance,Augmentation,accuracy,53.3,807
mensuel,cv_temporelle,fold_1_val_2017,accuracy,58.1,3161
mensuel,cv_temporelle,fold_1_val_2017,balanced_accuracy,52.4,3161
mensuel,cv_temporelle,fold_1_val_2017,f1_macro,46.2,3161
mensuel,cv_temporelle,fold_2_val_2018,accuracy,58.7,3419
mensuel,cv_temporelle,fold_2_val_2018,balanced_accuracy,53.0,3419
mensuel,cv_temporelle,fold_2_val_2018,f1_macro,46.1,3419
mensuel,cv_temporelle,fold_3_val_2019,accuracy,59.2,3611
mensuel,cv_temporelle,fold_3_val_2019,balanced_accuracy,53.4,3611
mensuel,cv_temporelle,fold_3_val_2019,f1_macro,45.5,3611
mensuel,cv_temporelle,fold_4_val_2020,accuracy,58.6,3783
mensuel,cv_temporelle,fold_4_val_2020,balanced_accuracy,56.9,3783
mensuel,cv_temporelle,fold_4_val_2020,f1_macro,45.9,3783
mensuel,cv_temporelle,fold_5_val_2021,accuracy,65.6,3929
mensuel,cv_temporelle,fold_5_val_2021,balanced_accuracy,58.2,3929
mensuel,cv_temporelle,fold_5_val_2021,f1_macro,48.8,3929
mensuel,cv_temporelle,fold_6_val_2022,accuracy,68.5,3669
mensuel,cv_temporelle,fold_6_val_2022,balanced_accuracy,57.8,3669
mensuel,cv_temporelle,fold_6_val_2022,f1_macro,49.6,3669
mensuel,cv_temporelle,moyenne,accuracy,61.4,6
mensuel,cv_temporelle,moyenne,balanced_accuracy,55.3,6
mensuel,cv_temporelle,moyenne,f1_macro,47.0,6
