granularite,section,detail,metrique,valeur,n
trimestriel,test,globale,accuracy,69.2,4317
trimestriel,test,globale,balanced_accuracy,66.3,4317
trimestriel,test,globale,f1_macro,57.0,4317
trimestriel,test,globale,n_zones_uniques,412.0,4317
trimestriel,test,globale,repere_toujours_majoritaire_accuracy,74.1,4317
trimestriel,test,globale,repere_hasard_balanced,33.3,4317
trimestriel,par_annee,2023,accuracy,69.4,1439
trimestriel,par_annee,2024,accuracy,68.7,1439
trimestriel,par_annee,2025,accuracy,69.4,1439
trimestriel,par_tendance,Diminution,accuracy,70.3,816
trimestriel,par_tendance,Stable,accuracy,69.9,3197
trimestriel,par_tendance,Augmentation,accuracy,58.6,304
trimestriel,cv_temporelle,fold_1_val_2020,accuracy,74.9,1802
trimestriel,cv_temporelle,fold_1_val_2020,balanced_accuracy,71.7,1802
trimestriel,cv_temporelle,fold_1_val_2020,f1_macro,60.3,1802
trimestriel,cv_temporelle,fold_2_val_2021,accuracy,79.2,1845
trimestriel,cv_temporelle,fold_2_val_2021,balanced_accuracy,76.6,1845
trimestriel,cv_temporelle,fold_2_val_2021,f1_macro,66.1,1845
trimestriel,cv_temporelle,fold_3_val_2022,accuracy,80.3,1398
trimestriel,cv_temporelle,fold_3_val_2022,balanced_accuracy,77.8,1398
trimestriel,cv_temporelle,fold_3_val_2022,f1_macro,66.4,1398
trimestriel,cv_temporelle,moyenne,accuracy,78.1,3
trimestriel,cv_temporelle,moyenne,balanced_accuracy,75.4,3
trimestriel,cv_temporelle,moyenne,f1_macro,64.3,3
