granularite,section,detail,metrique,valeur,n
trimestriel,test,globale,accuracy,67.4,4317
trimestriel,test,globale,balanced_accuracy,65.7,4317
trimestriel,test,globale,f1_macro,58.1,4317
trimestriel,test,globale,n_zones_uniques,412.0,4317
trimestriel,test,globale,repere_toujours_majoritaire_accuracy,67.4,4317
trimestriel,test,globale,repere_hasard_balanced,33.3,4317
trimestriel,par_annee,2023,accuracy,67.5,1439
trimestriel,par_annee,2024,accuracy,67.3,1439
trimestriel,par_annee,2025,accuracy,67.5,1439
trimestriel,par_tendance,Diminution,accuracy,69.6,1066
trimestriel,par_tendance,Stable,accuracy,67.5,2910
trimestriel,par_tendance,Augmentation,accuracy,60.1,341
trimestriel,cv_temporelle,fold_1_val_2020,accuracy,73.4,1802
trimestriel,cv_temporelle,fold_1_val_2020,balanced_accuracy,70.3,1802
trimestriel,cv_temporelle,fold_1_val_2020,f1_macro,61.0,1802
trimestriel,cv_temporelle,fold_2_val_2021,accuracy,78.2,1845
trimestriel,cv_temporelle,fold_2_val_2021,balanced_accuracy,76.0,1845
trimestriel,cv_temporelle,fold_2_val_2021,f1_macro,67.0,1845
trimestriel,cv_temporelle,fold_3_val_2022,accuracy,79.4,1398
trimestriel,cv_temporelle,fold_3_val_2022,balanced_accuracy,77.3,1398
trimestriel,cv_temporelle,fold_3_val_2022,f1_macro,67.8,1398
trimestriel,cv_temporelle,moyenne,accuracy,77.0,3
trimestriel,cv_temporelle,moyenne,balanced_accuracy,74.5,3
trimestriel,cv_temporelle,moyenne,f1_macro,65.3,3
