granularite,section,detail,metrique,valeur,n
semestriel,test,globale,accuracy,48.7,2337
semestriel,test,globale,balanced_accuracy,48.0,2337
semestriel,test,globale,f1_macro,44.5,2337
semestriel,test,globale,n_zones_uniques,412.0,2337
semestriel,test,globale,repere_toujours_majoritaire_accuracy,58.2,2337
semestriel,test,globale,repere_hasard_balanced,33.3,2337
semestriel,par_annee,2023,accuracy,52.4,779
semestriel,par_annee,2024,accuracy,47.5,779
semestriel,par_annee,2025,accuracy,46.3,779
semestriel,par_tendance,Diminution,accuracy,52.8,1359
semestriel,par_tendance,Stable,accuracy,29.9,566
semestriel,par_tendance,Augmentation,accuracy,61.4,412
semestriel,cv_temporelle,fold_1_val_2018,accuracy,57.5,1026
semestriel,cv_temporelle,fold_1_val_2018,balanced_accuracy,54.7,1026
semestriel,cv_temporelle,fold_1_val_2018,f1_macro,51.4,1026
semestriel,cv_temporelle,fold_2_val_2019,accuracy,55.7,1060
semestriel,cv_temporelle,fold_2_val_2019,balanced_accuracy,53.8,1060
semestriel,cv_temporelle,fold_2_val_2019,f1_macro,49.2,1060
semestriel,cv_temporelle,fold_3_val_2020,accuracy,53.9,1092
semestriel,cv_temporelle,fold_3_val_2020,balanced_accuracy,54.2,1092
semestriel,cv_temporelle,fold_3_val_2020,f1_macro,47.4,1092
semestriel,cv_temporelle,fold_4_val_2021,accuracy,57.0,1115
semestriel,cv_temporelle,fold_4_val_2021,balanced_accuracy,52.8,1115
semestriel,cv_temporelle,fold_4_val_2021,f1_macro,46.2,1115
semestriel,cv_temporelle,fold_5_val_2022,accuracy,65.5,571
semestriel,cv_temporelle,fold_5_val_2022,balanced_accuracy,59.2,571
semestriel,cv_temporelle,fold_5_val_2022,f1_macro,53.5,571
semestriel,cv_temporelle,moyenne,accuracy,57.9,5
semestriel,cv_temporelle,moyenne,balanced_accuracy,54.9,5
semestriel,cv_temporelle,moyenne,f1_macro,49.5,5
